,Customer_ID,Age,Annual_Income,Account_Balance,Credit_Score,Tenure_Years,City,Segment,Channel,Join_Date,Active,Risk_Level,Monthly_Spend,Transactions,Satisfaction_Score
0,101317,55,44033,111350.85,772,3,Bangalore,SME,Agent,2022-08-15 0:00:00,Yes,Low,23066.19,135,3.1
1,101001,32,215546,254378.37,374,8,Delhi,Retail,Agent,2025-01-11 0:00:00,Yes,High,,106,8.2
2,101069,23,226403,159975.42,668,12,Chennai,Premium,Agent,2024-08-01 0:00:00,No,Medium,28536.34,146,6.3
3,101968,66,87824,295741.6,315,14,Mumbai,Premium,Agent,2021-05-15 0:00:00,Yes,High,12869.71,115,9.7
4,100530,67,31570,242423.78,370,4,bangalore,Retail,Agent,2026-02-03 0:00:00,No,High,34163.02,94,3.7
5,101334,68,37087,180084.44,738,1,Chennai,Premium,Agent,2023-06-04 0:00:00,Yes,Low,15121.16,6,8.5
6,100415,47,67229,99629.81,464,4,Chennai,Retail,Online,2024-01-16 0:00:00,Yes,High,17655.61,31,2.8
7,100983,65,,61030.94,554,15,Kolkata,SME,Agent,2024-06-26 0:00:00,Yes,Medium,1720.85,139,9.7
8,100417,63,153267,221707.97,508,5,Hyderabad,Premium,Mobile,2025-03-12 0:00:00,Yes,High,38043.07,76,7.1
9,101472,42,missing,41126.84,556,3,Kolkata,Corporate,Mobile,2021-10-07 0:00:00,Yes,Medium,11472.36,124,9.1
10,101525,47,178741,22931.96,341,1,Hyderabad,Retail,Mobile,2023-03-02 0:00:00,Yes,High,,78,5.6
11,101576,25,93673,65086.87,477,13,Bangalore,Premium,Online,2025-11-22 0:00:00,Yes,High,24777.75,56,8.1
12,100252,66,108309,216944.85,643,10,Chennai,Corporate,Mobile,2021-06-25 0:00:00,No,Medium,9746.99,15,3.9
13,101622,22,106816,70169.08,542,4,Kolkata,Premium,Mobile,2025-11-19 0:00:00,Yes,High,32337.34,66,3.1
14,100071,52,missing,119810.62,443,13,,Premium,Branch,2025-08-26 0:00:00,Yes,High,48482.81,18,9.1
15,101107,45,53671,290179.08,693,4,Pune,SME,Agent,2024-05-05 0:00:00,No,Medium,49870.37,31,4.4
16,101363,27,192132,193980.13,746,12,Kolkata,SME,Agent,2022-01-07 0:00:00,No,Low,7111.13,110,9.1
17,100351,53,108186,31442.42,314,0,Hyderabad,Corporate,Mobile,2022-05-25 0:00:00,,High,24056.68,121,9.2
18,101392,53,193933,250519.78,315,9,,Retail,Agent,2022-10-07 0:00:00,Yes,High,32432.32,95,9.3
19,101088,64,175949,65169.27,701,1,Hyderabad,Premium,Agent,2023-08-10 0:00:00,No,Low,19941.13,118,7.5
20,100066,64,158541,246003.79,725,4,Mumbai,SME,Agent,,Yes,Low,21272.91,43,4.4
21,100980,47,103213,225791.49,760,8,Bangalore,Corporate,Branch,2022-02-13 0:00:00,No,Low,2808.48,64,9.6
22,100125,34,206264,277691.2,311,14,Hyderabad,SME,Online,2025-04-23 0:00:00,Yes,High,37670.96,128,9.8
23,101269,55,185811,84575.71,762,9,Delhi,SME,Agent,2021-11-17 0:00:00,No,Low,13856.76,57,9.6
24,101682,53,154951,39589.6,397,7,Pune,Retail,Agent,2025-03-06 0:00:00,Yes,High,3974.73,132,6.1
25,101316,68,133777,167629.78,355,9,Chennai,SME,Branch,2026-03-02 0:00:00,Yes,High,11725.09,74,6.6
26,100544,40,160542,153816.07,597,2,Kolkata,Retail,Agent,2022-06-21 0:00:00,Yes,Medium,20975.42,18,8.9
27,100874,not_available,116878,missing,674,1,Kolkata,Corporate,Mobile,2023-04-30 0:00:00,NO,Medium,5694.49,75,
28,101492,70,206129,29621.16,747,13,Bangalore,Retail,Online,2024-09-13 0:00:00,Yes,Low,33012.7,129,6.6
29,101944,73,51649,249961.31,485,11,Hyderabad,Retail,Online,2025-11-11 0:00:00,,High,5388.27,45,2.0
30,101621,64,125417,97303.74,487,10,Pune,Retail,Agent,2024-06-02 0:00:00,Yes,High,15808.18,80,8.2
31,100375,65,104561,221128.97,433,1,Delhi,Corporate,Branch,2021-01-31 0:00:00,Yes,High,12395.98,14,5.7
32,101248,23,170643,269471.42,503,3,Hyderabad,SME,Agent,2024-04-20 0:00:00,0,High,18854.81,-,6.5
33,100213,18,-,950.35,524,14,Hyderabad,Retail,Agent,2025-04-10 0:00:00,No,High,39000.68,80,
34,100945,27,143947,295874,554,9,Delhi,Retail,Online,2023-08-04 0:00:00,Yes,Medium,42573.8,16,
35,100325,66,169701,,429,9,Mumbai,Corporate,Branch,2023-08-27 0:00:00,No,High,17572.01,128,3.9
36,100030,29,abc,89018.29,389,3,Chennai,SME,Mobile,2024-12-07 0:00:00,Yes,High,24646.77,64,1.0
37,101836,25,151498,226900.28,805,3,Delhi,Retail,Agent,2021-07-22 0:00:00,Yes,Low,37514.38,111,2.9
38,100781,18,90108,605.56,377,6,Hyderabad,Retail,Online,2024-03-24 0:00:00,Yes,High,18323.24,78,6.5
39,100290,46,239941,136184.05,820,14,Mumbai,Premium,Branch,2021-05-12 0:00:00,Yes,Low,4394.84,7,5.0
40,101264,34,204761,262621.69,432,8,Chennai,Retail,Branch,2021-11-18 0:00:00,No,High,2794.49,38,7.9
41,100496,42,206180,122002.22,829,6,Bangalore,Retail,Branch,2025-07-11 0:00:00,No,Low,5019.79,not_available,5.3
42,100271,21,64499,abc,845,12,chennai,Premium,Agent,2022-03-10 0:00:00,Yes,Low,42189.4,98,6.4
43,100965,25,56822,229440.29,661,0,chennai,Premium,Branch,2023-08-22 0:00:00,Yes,Medium,23395.48,88,5.1
44,100353,57,187962,115536.04,791,7,Pune,Retail,Agent,2022-01-25 0:00:00,No,Low,19727.15,111,8.0
45,100101,33,169059,228572.05,639,15,Pune,Retail,Mobile,2024-10-04 0:00:00,Yes,Medium,,148,6.1
46,100737,33,,234298.77,836,7,Hyderabad,Retail,Mobile,2024-09-02 0:00:00,Yes,Low,803.37,13,9.8
47,100255,45,131661,7349.53,452,6,Delhi,Corporate,Branch,2025-07-30 0:00:00,Yes,High,49132.89,85,9.5
48,101423,21,109045,42676.57,671,9,Bangalore,Retail,Branch,2022-08-13 0:00:00,No,Medium,,62,8.1
49,100586,29,216648,88708.4,360,0,Pune,Premium,Branch,2025-11-27 0:00:00,Yes,High,45983.18,103,6.8
50,100553,51,135677,297732.69,835,6,Bangalore,Premium,Agent,2021-08-18 0:00:00,No,Low,3114.82,132,5.9
51,100744,56,135641,3444.2,456,2,kolkata,Corporate,Online,2023-11-13 0:00:00,No,High,19483.7,141,9.6
52,100057,31,239696,41661.4,677,2,Bangalore,,Branch,2022-12-06 0:00:00,YES,Medium,47955.19,115,7.7
53,100394,68,139225,9426.55,478,15,Pune,Premium,Branch,2022-06-28 0:00:00,Yes,High,17597.13,84,1.2
54,101365,27,172159,201009.76,831,4,Bangalore,Corporate,Mobile,2023-06-12 0:00:00,No,Low,37462.72,84,9.9
55,100939,20,161728,unknown,481,2,pune,Retail,Branch,2021-02-25 0:00:00,Yes,High,47965.78,14,1.3
56,101002,44,-,163675.55,341,12,Delhi,Premium,Branch,2021-08-23 0:00:00,No,High,17262.66,35,7.3
57,101024,37,37411,189596.6,608,9,Mumbai,Corporate,Mobile,2021-07-28 0:00:00,Yes,Medium,35753.31,17,4.4
58,101713,38,,122314.73,682,12,Kolkata,Retail,Online,2026-01-25 0:00:00,Yes,Medium,,50,2.1
59,100681,52,206187,4818.56,728,9,Kolkata,Corporate,Agent,2023-12-01 0:00:00,Yes,High,40965.31,112,1.2
60,101564,45,70232,204405.9,542,14,pune,Corporate,Branch,2022-11-04 0:00:00,Yes,High,29657.43,57,9.4
61,101524,49,136487,223553.85,688,5,Hyderabad,Corporate,Branch,2023-02-20 0:00:00,No,Medium,44026.51,9,3.4
62,101898,46,79869,127781.31,504,15,Bangalore,SME,Branch,2022-07-22 0:00:00,Yes,High,unknown,13,5.6
63,100614,62,76924,61073.51,510,1,Bangalore,Premium,Branch,2021-11-23 0:00:00,Yes,High,26310.39,59,4.4
64,100535,73,64062,73742.23,805,9,Bangalore,,Online,,Yes,Low,40051.01,9,4.3
65,100308,,76047,81464.11,490,1,Mumbai,Retail,Online,2022-11-08 0:00:00,Yes,High,44125.58,118,2.6
66,100969,,245171,232946.79,554,14,Pune,Corporate,Branch,2021-04-17 0:00:00,Yes,Medium,18338.72,140,5.6
67,101469,58,42069,abc,560,14,Kolkata,Premium,Agent,2023-11-07 0:00:00,Yes,Medium,4691.16,63,9.4
68,101936,21,245460,210129.54,773,0,bangalore,SME,Online,2023-07-15 0:00:00,Yes,Low,23216.37,135,4.6
69,100549,75,130823,17310.88,710,15,Hyderabad,Premium,Agent,2024-12-16 0:00:00,Yes,Low,22031.72,16,2.0
70,101126,75,178686,5144.93,446,14,pune,Premium,Agent,2024-12-28 0:00:00,No,High,45017.3,29,7.7
71,100412,34,54426,110320.1,422,4,Chennai,SME,Mobile,2021-04-30 0:00:00,No,High,33610.56,72,5.7
72,101407,63,181123,196015.05,725,1,Pune,Retail,Agent,2021-04-22 0:00:00,No,Low,20009.6,13,5.3
73,101419,29,,104065.79,338,11,Bangalore,Premium,Online,2022-07-01 0:00:00,Yes,High,43147.43,131,3.1
74,101250,73,214013,22943.99,534,8,Chennai,Corporate,Mobile,2022-09-18 0:00:00,Yes,High,11686.34,108,1.3
75,101952,69,218016,165141.53,829,10,Kolkata,Corporate,Online,2023-09-08 0:00:00,Yes,Low,38451.54,10,6.0
76,100257,40,31154,164739.1,807,6,Mumbai,Premium,Agent,2025-04-07 0:00:00,Yes,Low,47849.17,23,9.1
77,101086,74,51035,224351.57,713,7,,Premium,Online,2022-05-15 0:00:00,Yes,Low,42890.52,36,5.2
78,100731,42,244861,61620.42,607,0,Hyderabad,Premium,Branch,2022-08-11 0:00:00,Yes,Medium,25818.6,76,1.5
79,101495,66,165905,27650.39,357,10,Hyderabad,Retail,Online,2021-11-01 0:00:00,Yes,High,16283.16,22,6.5
80,101857,20,232020,267360.02,547,8,Kolkata,Premium,Agent,2023-01-05 0:00:00,Yes,High,,37,2.6
81,100345,50,236957,202832.47,617,3,Delhi,Corporate,Online,2023-04-05 0:00:00,Yes,Medium,2057.13,63,5.5
82,101180,38,234112,136073.7,582,6,Hyderabad,Retail,Mobile,2022-08-30 0:00:00,Yes,Medium,5841.33,102,5.6
83,101424,22,141859,missing,822,13,Delhi,Corporate,Branch,2023-06-17 0:00:00,Yes,Low,,119,4.7
84,101890,49,188834,,753,0,Kolkata,Premium,Agent,,YES,Low,17796.54,147,
85,101186,47,71857,264484.69,672,1,Bangalore,SME,Mobile,2024-12-21 0:00:00,Yes,Medium,17084.93,17,8.5
86,101478,35,179324,13574.76,610,9,Kolkata,Corporate,Mobile,2025-10-16 0:00:00,Yes,High,9815.12,37,3.9
87,101994,30,212116,34943.35,not_available,15,Delhi,Retail,Mobile,2024-02-04 0:00:00,Yes,Low,38054.36,101,5.9
88,101780,47,112969,229748.71,398,10,Bangalore,SME,Online,2024-10-08 0:00:00,Yes,High,21240.19,80,7.6
89,100300,24,100897,35986.11,378,13,Mumbai,SME,Mobile,2024-12-20 0:00:00,Yes,High,24578.08,75,4.4
90,101119,64,32099,267513.26,444,7,Mumbai,Retail,Agent,2023-09-28 0:00:00,No,High,24085.92,24,
91,101926,65,97692,179578.53,579,9,Pune,,Branch,2021-08-21 0:00:00,Yes,Medium,16309.51,33,1.9
92,101300,22,120081,153869.12,437,2,Delhi,SME,Online,2022-04-06 0:00:00,Yes,High,17677.89,76,5.4
93,100070,64,73874,25317.71,384,1,Bangalore,Retail,Online,2022-08-24 0:00:00,Yes,High,21869.3,48,2.0
94,101568,46,234093,131453.01,598,5,Bangalore,SME,Branch,2023-12-29 0:00:00,No,Medium,32808.11,112,9.5
95,100573,54,104134,97901.53,770,7,hyderabad,Premium,Mobile,2025-10-29 0:00:00,Yes,Low,30755.11,121,5.9
96,101884,51,153202,96008.19,554,6,,SME,Branch,2024-02-10 0:00:00,Yes,Medium,35388.8,74,1.8
97,101152,62,184210,not_available,536,11,Hyderabad,Premium,Branch,,No,High,18587.6,90,2.5
98,101477,24,70603,106539.49,507,3,Pune,Retail,Branch,2025-06-06 0:00:00,No,High,40479.15,20,5.6
99,100880,44,221133,154927.32,,12,Hyderabad,SME,Mobile,2021-05-08 0:00:00,No,Medium,33578.84,6,9.1
100,101768,60,162488,234275.81,not_available,1,Mumbai,Premium,Agent,,Yes,Medium,48286.74,100,4.0
101,100819,73,226659,61207.4,566,3,Mumbai,Corporate,Online,2024-02-19 0:00:00,Yes,Medium,33884.83,15,9.6
102,100481,25,80204,,689,6,Pune,Premium,Agent,2021-09-29 0:00:00,No,Medium,16696.4,75,2.4
103,100100,,228617,13433.54,421,11,,SME,Online,2022-03-06 0:00:00,,High,32979.41,112,3.4
104,100608,36,42772,159606.5,639,9,Hyderabad,SME,Online,2024-10-03 0:00:00,No,Medium,23669.24,86,1.4
105,100742,59,152834,282381.73,741,2,Delhi,Premium,Mobile,2024-10-15 0:00:00,No,Low,4209.73,140,5.4
106,101631,37,43658,234056.78,794,3,Pune,SME,Branch,2022-04-21 0:00:00,Yes,Low,23576.42,9,6.9
107,101665,71,105257,64109.44,471,14,Bangalore,Retail,Mobile,2023-02-21 0:00:00,No,High,37455.05,120,5.1
108,100562,33,49089,251944.85,712,10,Pune,Corporate,Agent,2023-01-27 0:00:00,Yes,Low,15240.46,40,3.8
109,100112,32,169353,159325.6,missing,2,,Corporate,Branch,2022-05-17 0:00:00,No,Medium,31838.79,71,3.2
110,101023,34,123723,111972.35,820,2,Bangalore,Premium,Agent,2022-05-13 0:00:00,Yes,Low,30264.76,136,1.8
111,100240,66,154749,13248.58,433,11,Kolkata,Retail,Mobile,2021-08-18 0:00:00,Y,High,40317.62,47,9.7
112,101212,47,63714,180911.87,510,13,hyderabad,Retail,Branch,2025-10-31 0:00:00,Yes,High,18374.17,144,
113,100129,50,unknown,44118.56,667,13,Pune,Corporate,Online,2025-08-11 0:00:00,No,Medium,45092.96,115,8.7
114,101972,23,241997,137232.92,527,1,Hyderabad,Premium,Online,2024-07-20 0:00:00,Yes,High,22354.58,77,6.6
115,101950,42,114906,92171.69,745,7,Hyderabad,Corporate,Branch,2021-03-05 0:00:00,Yes,Low,,109,1.5
116,100508,60,,106512.32,460,11,Mumbai,Corporate,Branch,2022-06-26 0:00:00,Yes,High,11060.66,62,4.8
117,101905,64,60292,147616.35,460,12,Pune,Premium,Branch,2021-12-24 0:00:00,Yes,High,41708.23,24,6.2
118,101259,19,169129,234166.81,516,9,Bangalore,Retail,Online,,Yes,High,29836.6,38,1.8
119,101960,62,55795,49815.76,822,3,Kolkata,Corporate,Online,,Yes,Low,3051.97,90,
120,100707,42,abc,150454.64,431,15,Hyderabad,Premium,Online,2024-09-27 0:00:00,Yes,High,44710.37,71,4.1
121,101826,39,abc,297436.07,650,7,Kolkata,Retail,Branch,2024-11-27 0:00:00,,Medium,29851.24,5,5.0
122,101672,46,,94111.95,728,12,Hyderabad,SME,Online,2021-02-14 0:00:00,,Low,12699.76,19,4.1
123,100520,49,157311,288050.34,317,8,Delhi,Corporate,Mobile,2022-12-04 0:00:00,Yes,High,36026.32,32,1.3
124,100987,54,228218,153168.54,599,1,Hyderabad,Corporate,Agent,2023-08-28 0:00:00,No,Medium,34834.92,86,2.8
125,100941,40,99520,80280.24,638,1,Delhi,Retail,Online,2024-08-09 0:00:00,NO,Medium,18509.34,36,7.0
126,101827,75,239369,218051.65,598,6,Mumbai,Premium,Mobile,,Yes,Medium,6476.55,123,6.5
127,100904,67,115517,95582.69,588,6,Bangalore,SME,Agent,2023-05-09 0:00:00,No,Medium,12452.48,103,5.7
128,101108,40,147811,247995.62,821,7,Pune,Premium,Online,2024-12-07 0:00:00,No,Low,43695.52,36,7.7
129,101064,35,209492,133157.76,751,2,Delhi,Retail,Agent,2024-08-25 0:00:00,No,Low,25254.57,19,5.4
130,100965,25,56822,229440.29,661,0,chennai,Premium,Branch,2023-08-22 0:00:00,Yes,Medium,23395.48,88,5.1
131,100367,33,231789,219148.91,472,1,Bangalore,Premium,Online,2025-10-31 0:00:00,No,High,7201.24,146,4.1
132,101422,65,186326,83438.75,328,10,Mumbai,Corporate,Mobile,,Yes,High,-,52,8.9
133,100675,74,70379,missing,400,10,Hyderabad,Retail,Branch,2022-01-25 0:00:00,Yes,High,18239.2,3,9.8
134,101813,43,78798,119365.25,596,10,Hyderabad,Retail,Agent,2022-09-16 0:00:00,Yes,Medium,23947.71,111,1.2
135,101513,57,149302,72021.22,313,1,Hyderabad,Premium,Online,2022-04-24 0:00:00,Yes,High,48897.31,4,2.3
136,100597,40,139044,218024.77,751,3,Hyderabad,Premium,Agent,2021-12-29 0:00:00,No,Low,44261.47,132,6.5
137,101197,57,94519,274701.67,606,12,chennai,Retail,Branch,2025-11-14 0:00:00,Yes,Medium,29023.36,149,9.7
138,101527,66,176716,238178.82,357,10,Delhi,Retail,Mobile,2025-06-11 0:00:00,Yes,High,28654.07,146,6.4
139,100465,46,227332,206999.92,656,6,Delhi,Corporate,Online,2024-08-14 0:00:00,Yes,Medium,6078.54,123,7.0
140,101677,28,150147,,760,15,Mumbai,Retail,Online,2021-01-17 0:00:00,0,High,2281.5,73,7.5
141,101803,54,227978,186819.68,671,9,,SME,Branch,2023-08-09 0:00:00,No,Medium,29640.24,119,2.7
142,101053,49,161614,115863.6,681,12,Pune,Retail,Mobile,2023-01-12 0:00:00,NO,Medium,41850.44,39,1.2
143,101975,71,249977,124488.13,582,6,Hyderabad,Premium,Online,2024-12-29 0:00:00,Yes,Medium,27202,32,3.8
144,100486,68,248536,269302.4,464,9,Delhi,SME,Agent,2022-05-16 0:00:00,No,High,,110,7.1
