title,price,rating,brand,ram,storage,color,processor
"HP Omnibook 3, Snapdragon X Processor 45 Tops (16GB LPDDR5x,512GB SSD) 2K WUXGA, 14''/35.6cm, Win 11, M365*Office 24,Silver,1.42kg, hz0026QU/ hz0024QU, Lighter mini Charger, FHD IR Camera, AI Laptop",69990.0,3.2,HP,16.0,512.0,Silver,Snapdragon
"Acer Smartchoice Aspire One, AMD Ryzen 5-40,Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",49990.0,3.7,Acer,8.0,512.0,Silver,AMD
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",44999.0,4.0,Lenovo,8.0,512.0,Silver,AMD
"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop",65990.0,4.1,ASUS,16.0,512.0,Blue,Intel
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Indigo",73990.0,4.8,Apple,8.0,256.0,Indigo,Unknown
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Silver",73990.0,4.7,Apple,8.0,256.0,Silver,Unknown
"ASUS Vivobook 16,Smartchoice, 13th Gen, Intel Core i5-13420H,16GB RAM,512GB SSD,FHD, OLED,Win 11,M365 Basic (1Y),Backlit Keyboard,Office 2024,Silver,1.88 kg,X1605VA-SH1952WS, Thin & Light Laptop",67990.0,4.0,ASUS,16.0,512.0,Silver,Intel
"Dell 15, Intel Core 13th Gen i5-1334U, FHD, 15.6""/39.62cm, Windows 11, MSO'24, Grey, 1.66kg, Vostro 3530, (16GB DDR4, 512GB SSD) Anti-Glare FHD 15.6""/39.62cm, 12 Month McAfee, Thin & Light Laptop",69990.0,3.8,Dell,16.0,512.0,Grey,Intel
"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 1TB SSD Storage, 12MP Center Stage Camera, Touch ID; Starlight",172490.0,4.7,Apple,16.0,1000.0,Unknown,Unknown
"Apple 2026 MacBook Pro Laptop with M5 Max chip with 18‑core CPU and 32‑core GPU: Built for AI, 35.97 cm (14.2″) Liquid Retina XDR Display, 36GB Unified Memory, 2TB SSD Storage; Space Black",464490.0,5.0,Apple,36.0,2000.0,Black,Unknown
"Acer Aspire Lite, AMD Ryzen 3-5400U, 8 GB RAM, 512 GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 KG, AL15-41, Premium Laptop",42990.0,4.2,Acer,0.0,512.0,Gray,AMD
"Acer Smartchoice Aspire One, AMD Ryzen 5-40, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",44990.0,4.1,Acer,8.0,256.0,Silver,AMD
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",35690.0,3.4,Acer,4.0,256.0,Silver,Intel
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" FHD 120Hz IPS AG 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, 1.63Kg",57490.0,3.9,Dell,8.0,0.0,Black,Intel
"Acer Aspire One, Intel Core Celeron N4500, 8GB LPDDR4 RAM/ 256GB SSD, 14.0""/35.56cm WXGA Display, Intel UHD Graphics, Win 11 Home, Pure Silver, 1.3 Kg, A114-45, Thin and Light Laptop",35990.0,1.0,Acer,8.0,256.0,Silver,Intel
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 16GB DDR4, 512 SSD, Intel UHD Graphics, 15.6"" FHD 120Hz IPS AG 250 nit Display, Win 11 + Office 2024, Black, 1.63Kg",62490.0,4.0,Dell,16.0,0.0,Black,Intel
"Acer One 15 Smart Laptop AO15-41M-G2 | AMD Ryzen 3 7320U | AMD Radeon 610M Graphics | 8GB LPDDR5 RAM | 256GB NVMe SSD | 15.6"" FHD Display | Windows 11 Home | Silver",38700.0,2.8,Acer,8.0,0.0,Silver,AMD
"HP Professional 15 (2026), Intel (i3 14th Gen) Core 3 100U - (8 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin & Light Business Laptop/15.6"" Display/Silver/Copilot Key/1.5kg/MSO 2024",50500.0,5.0,HP,5.0,512.0,Silver,Intel
"HP Chromebook 14, MediaTek Kompanio 540 (4GB LPDDR5, 128GB UFS) HD, Anti-Glare, Micro-Edge, 14''/35.6cm, ChromeOS, 100 GB Google One(1yr), Modern Gray,1.35kg, nm0004MU, HD Camera w/Shutter Laptop",29990.0,4.1,HP,4.0,0.0,Gray,MediaTek
"HP 15 Smartchoice, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)*Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",44990.0,4.2,HP,12.0,512.0,Silver,Intel
"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/MSO 365 Basic+Office 2024/Top Metal Cover/Backlit KB/1Yr ADP/Grey/1.6Kg), 83K1016UIN",82654.0,3.8,Lenovo,16.0,512.0,Grey,Unknown
"HP 15 Laptop, AMD Ryzen 7 7730U (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11, M365 Basic(1yr),Office Home24,Silver,1.59kg,FHD Camera w/Privacy Shutter, Backlit KB, fc0761AU",69790.0,4.0,HP,16.0,512.0,Silver,AMD
"HP Omnibook 3, Snapdragon X Processor 45 Tops (16GB LPDDR5x,512GB SSD) 2K WUXGA, 14''/35.6cm, Win 11, M365*Office 24,Silver,1.42kg, hz0026QU/ hz0024QU, Lighter mini Charger, FHD IR Camera, AI Laptop",69990.0,3.2,HP,16.0,512.0,Silver,Snapdragon
"Apple 2026 MacBook Pro Laptop with M5 Pro chip with 15‑core CPU and 16‑core GPU: Built for AI, 35.97 cm (14.2″) Liquid Retina XDR Display, 24GB Unified Memory, 2TB SSD Storage; Silver",342490.0,4.6,Apple,24.0,2000.0,Silver,Unknown
"Acer Smartchoice Aspire One, AMD Ryzen 5-40, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",47990.0,3.8,Acer,8.0,512.0,Silver,AMD
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",49450.0,4.1,HP,8.0,512.0,Silver,AMD
"ASUS Chromebook CM1405 (2026), Smartchoice, MediaTek Kompanio 540 Processor, 4GB RAM, 64GB SSD, FHD, 14""(35.5 cm), 60Hz, Chrome OS, Pure Grey, 1.37 Kg, CM1405CM4A-S60034, Thin & Light Laptop",28990.0,4.3,ASUS,4.0,64.0,Grey,MediaTek
"acer Aspire Lite,13th Gen, Intel Core i5-13420H Processor, 16 GB RAM, 512 GB SSD, Full HD IPS, 15.6""/39.62 cm, Windows 11 Home, MS Office, Pure Silver, 1.70 kg, AL15-52H, Thin and Light Laptop",64390.0,3.8,acer,0.0,512.0,Silver,Intel
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Indigo",73990.0,4.8,Apple,8.0,256.0,Indigo,Unknown
"Acer Smartchoice Aspire One, AMD Ryzen 5-40,Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",49990.0,3.7,Acer,8.0,512.0,Silver,AMD
"HP Smartchoice Victus, AMD Ryzen 7 7445HS, 6GB RTX 3050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, 300 nits, 15.6''/39.6cm, Win 11, Office 24, Blue, 2.29kg, fb3134/20ax, Xbox Gamepass*, Gaming Laptop",95990.0,4.1,HP,6.0,512.0,Blue,AMD
"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 24GB Unified Memory, 1TB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",194990.0,4.8,Apple,24.0,1000.0,Unknown,Unknown
"Lenovo IdeaPad Slim 3 Ryzen 3 30 15.6"" (39.6cm) FHD Thin and Light Laptop (8GB RAM/512GB SSD/AMD Radeon 610M Graphics/Windows 11/Office 2024/Grey/1.6Kg), 82XQ01VYIN",54990.0,4.4,Lenovo,8.0,512.0,Grey,AMD
"Acer 15 Smartchoice, AMD Ryzen 3-7320U, 15.6"" Full HD Display, | 8GB DDR5 RAM 5500 Mhz, 256GB SSD New Gen, Windows 11Home, Ms office 21, Antivrus, 1.59KG, Professional Thin and Light Laptop",44990.0,5.0,Acer,8.0,256.0,Unknown,AMD
"Lenovo V15 G6 AMD Ryzen 7 170 (Coequal 7735HS) 15.6"" (39.62cm) FHD Thin and Light Business Laptop (16GB RAM DDR5/ 512GB SSD/Windows 11/ MS Office 2024/ AMD Radeon Graphics/Luna Grey/ 1.6 kg)",69999.0,3.8,Lenovo,16.0,512.0,Grey,AMD
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Silver",73990.0,4.7,Apple,8.0,256.0,Silver,Unknown
"HP Chromebook 14, MediaTek Kompanio 540 (4GB LPDDR5, 128GB UFS) HD, Anti-Glare, Micro-Edge, 14''/35.6cm, ChromeOS, 100 GB Google One(1yr), Modern Gray,1.35kg, nm0004MU, HD Camera w/Shutter Laptop",29990.0,4.1,HP,4.0,0.0,Gray,MediaTek
"Lenovo 14 (2026), Intel Core i5 13th Gen 13420H - (8 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Luna Grey/Copilot Key/1.4 kg/MS Office 2024",58800.0,4.1,Lenovo,5.0,512.0,Grey,Intel
"Acer Aspire 3 (2026), Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Laptop/15.6"" FHD IPS Display/Silver/1.5 Kg/MS Office 2024/3 Years Warranty",60250.0,5.0,Acer,0.0,512.0,Silver,Intel
"Lenovo V15 G4 Laptop with AMD Ryzen 5 7520U, 16GB DDR5 RAM, 512GB SSD, 15.6-inch FHD Display, AMD Radeon Graphics, Windows 11 Home, MS Office 2024, Dolby Audio, Arctic Grey, 1 Year Onsite Warranty",56900.0,5.0,Lenovo,16.0,512.0,Grey,AMD
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i3-1315U 15.6 Inch (39.6cm) FHD Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11/Office Home 2024/Grey/1.62Kg), 82X700HHIN",54058.0,4.6,Lenovo,8.0,512.0,Grey,Intel
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",55990.0,4.1,Lenovo,8.0,512.0,Grey,AMD
"ASUS Vivobook S14, Intel Core Ultra 5 225H, Intel iGPU,16GB RAM,512GB SSD, FHD+,14"",60Hz,Windows 11,M365 Basic (1Year)*,Office Home 2024,Cool Silver,1.4 Kg, S3407CA-LY060WS, Metallic Design Laptop",82990.0,4.2,ASUS,16.0,512.0,Silver,Intel
"HP 255 G10 Laptop for Home or Work, 16GB RAM DDR5, 512GB SSD, 15.6"" Full HD, Ryzen 3 7335U (Beats Intel i5-1135G7), HDMI, USB-C",58990.0,4.3,HP,16.0,512.0,Unknown,Intel
"HP Chromebook 14, MediaTek Kompanio 540 (4GB LPDDR5, 128GB UFS) HD, Touch, Anti-Glare, Micro-Edge, 14''/35.6cm, ChromeOS, 100GB Google One(1yr),Modern gray,1.35kg, nm0006MU, HD Camera w/shutter Laptop",32990.0,4.1,HP,4.0,0.0,gray,MediaTek
"HP 15, AMD Ryzen 5 7520U,(16GB LPDDR5, 512GB SSD), Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win 11, Office 24,M365 Basic(1yr)*,Silver, 1.59kg, fc0690au, FHD Camera, Backlit KB Laptop",67400.0,3.9,HP,16.0,512.0,Silver,AMD
"Lenovo 14 (2026), Intel Core i5 13th Gen 13420H - (16 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Luna Grey/Copilot Key/1.4 kg/MS Office 2024",68990.0,5.0,Lenovo,5.0,512.0,Grey,Intel
"HP Omnibook 3, Snapdragon X Processor 45 Tops (16GB LPDDR5x,512GB SSD) 2K WUXGA, 14''/35.6cm, Win 11, M365*Office 24,Silver,1.42kg, hz0026QU/ hz0024QU, Lighter mini Charger, FHD IR Camera, AI Laptop",69990.0,3.2,HP,16.0,512.0,Silver,Snapdragon
"Acer Smartchoice Aspire One, AMD Ryzen 5-40,Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",49990.0,3.7,Acer,8.0,512.0,Silver,AMD
"Apple 2026 MacBook Pro Laptop with M5 Pro chip with 15‑core CPU and 16‑core GPU: Built for AI, 35.97 cm (14.2″) Liquid Retina XDR Display, 24GB Unified Memory, 2TB SSD Storage; Silver",342490.0,4.6,Apple,24.0,2000.0,Silver,Unknown
"𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)",37400.0,4.1,Unknown,8.0,256.0,Unknown,Unknown
"ASUS Vivobook 14 (2025), (i5-14th Gen) Intel Core 5 120U,Fingerprint Sensor,8GB RAM,512GB SSD,FHD, 14"", (35.5 cm),Win11,M365 Basic(1Y) Office 24, Silver, 1.4 Kg, X1404VAP-EB1521WS, Thin & Light Laptop",58990.0,4.1,ASUS,8.0,512.0,Silver,Intel
"acer Aspire Lite,13th Gen, Intel Core i5-13420H Processor, 16 GB RAM, 512 GB SSD, Full HD IPS, 15.6""/39.62 cm, Windows 11 Home, MS Office, Pure Silver, 1.70 kg, AL15-52H, Thin and Light Laptop",64390.0,3.8,acer,0.0,512.0,Silver,Intel
